iter	Passed	Remaining
213	5012	18411
214	5035	18387
215	5059	18362
216	5081	18337
217	5105	18312
218	5127	18285
219	5150	18262
220	5174	18237
221	5190	18188
222	5214	18167
223	5238	18145
224	5258	18111
225	5284	18098
226	5310	18083
227	5336	18067
228	5359	18043
229	5371	17984
230	5394	17958
231	5417	17934
232	5439	17905
233	5462	17880
234	5484	17854
235	5507	17829
236	5528	17799
237	5550	17772
238	5573	17745
239	5596	17721
240	5619	17696
241	5642	17672
242	5663	17644
243	5689	17626
244	5715	17612
245	5740	17594
246	5762	17568
247	5781	17531
248	5803	17505
249	5828	17485
250	5851	17460
251	5873	17434
252	5895	17405
253	5917	17379
254	5940	17354
255	5966	17339
256	5990	17318
257	6007	17277
258	6029	17251
259	6053	17228
260	6075	17201
261	6099	17179
262	6121	17154
263	6146	17134
264	6168	17108
265	6191	17084
266	6215	17062
267	6238	17039
268	6254	16997
269	6275	16966
270	6288	16916
271	6313	16898
272	6338	16879
273	6360	16853
274	6383	16828
275	6405	16803
276	6429	16781
277	6452	16758
278	6471	16724
279	6494	16700
280	6518	16677
281	6539	16650
282	6551	16599
283	6573	16573
284	6595	16547
285	6612	16507
286	6634	16482
287	6643	16424
288	6666	16399
289	6689	16377
290	6712	16354
291	6724	16304
292	6747	16281
293	6770	16258
294	6795	16239
295	6818	16217
296	6843	16198
297	6865	16172
298	6888	16149
299	6911	16127
300	6936	16108
301	6960	16087
302	6985	16068
303	7008	16045
304	7031	16022
305	7053	15997
306	7077	15975
307	7096	15943
308	7120	15923
309	7143	15900
310	7153	15847
311	7175	15823
312	7200	15803
313	7223	15780
314	7245	15755
315	7268	15732
316	7291	15709
317	7317	15692
318	7340	15671
319	7364	15649
320	7386	15624
321	7402	15587
322	7424	15561
323	7448	15541
324	7470	15515
325	7492	15490
326	7500	15436
327	7522	15412
328	7534	15366
329	7557	15344
330	7580	15321
331	7603	15297
332	7624	15272
333	7647	15248
334	7668	15222
335	7691	15200
336	7714	15177
337	7725	15130
338	7748	15109
339	7772	15086
340	7794	15063
341	7817	15041
342	7839	15015
343	7864	14996
344	7873	14948
345	7899	14930
346	7922	14908
347	7932	14861
348	7954	14837
349	7977	14814
350	8001	14794
351	8024	14772
352	8050	14755
353	8075	14737
354	8097	14713
355	8119	14688
356	8142	14664
357	8153	14621
358	8176	14598
359	8200	14578
360	8224	14558
361	8248	14537
362	8272	14517
363	8296	14496
364	8319	14472
365	8340	14447
366	8364	14427
367	8377	14387
368	8401	14367
369	8424	14345
370	8449	14325
371	8473	14304
372	8496	14281
373	8518	14257
374	8540	14234
375	8563	14211
376	8587	14190
377	8610	14168
378	8633	14146
379	8655	14122
380	8679	14101
381	8701	14076
382	8724	14055
383	8748	14033
384	8772	14012
385	8795	13990
386	8820	13972
387	8845	13952
388	8871	13933
389	8896	13914
390	8922	13897
391	8946	13876
392	8966	13849
393	8988	13824
394	9011	13803
395	9024	13764
396	9049	13744
397	9070	13720
398	9093	13696
399	9111	13666
400	9133	13643
401	9155	13619
402	9168	13581
403	9183	13547
404	9206	13526
405	9229	13502
406	9251	13479
407	9274	13457
408	9297	13434
409	9320	13412
410	9342	13388
411	9366	13367
412	9388	13343
413	9411	13321
414	9433	13297
415	9455	13273
416	9477	13249
417	9499	13226
418	9520	13201
419	9543	13178
420	9565	13156
421	9589	13134
422	9613	13113
423	9636	13091
424	9660	13069
425	9683	13048
426	9706	13024
427	9729	13003
428	9753	12981
429	9776	12959
430	9800	12938
431	9825	12918
432	9847	12895
433	9872	12875
434	9895	12852
435	9918	12830
436	9941	12808
437	9964	12786
438	9986	12762
439	10010	12740
440	10033	12718
441	10056	12695
442	10077	12670
443	10100	12648
444	10123	12626
445	10148	12606
446	10173	12585
447	10187	12552
448	10214	12534
449	10237	12512
450	10256	12484
451	10278	12462
452	10295	12431
453	10318	12409
454	10339	12385
455	10362	12361
456	10383	12338
457	10406	12315
458	10428	12291
459	10452	12269
460	10475	12248
461	10501	12228
462	10523	12205
463	10547	12184
464	10569	12161
465	10593	12138
466	10615	12116
467	10638	12093
468	10660	12069
469	10684	12048
470	10710	12029
471	10728	12001
472	10752	11979
473	10775	11957
474	10797	11933
475	10819	11910
476	10841	11886
477	10864	11864
478	10886	11841
479	10911	11821
480	10936	11800
481	10960	11779
482	10983	11756
483	11007	11735
484	11030	11713
485	11054	11691
486	11077	11669
487	11101	11647
488	11124	11625
489	11134	11588
490	11156	11565
491	11179	11543
492	11203	11521
493	11223	11495
494	11246	11473
495	11270	11451
496	11292	11428
497	11308	11399
498	11330	11375
499	11353	11353
500	11376	11331
501	11401	11310
502	11423	11287
503	11448	11267
504	11471	11244
505	11495	11223
506	11519	11201
507	11542	11179
508	11562	11153
509	11585	11131
510	11608	11109
511	11632	11086
512	11654	11064
513	11678	11042
514	11691	11010
515	11714	10987
516	11736	10964
517	11761	10943
518	11785	10922
519	11808	10900
520	11832	10878
521	11856	10857
522	11879	10834
523	11904	10813
524	11919	10784
525	11943	10762
526	11965	10739
527	11990	10719
528	12015	10697
529	12039	10676
530	12062	10654
531	12086	10632
532	12110	10610
533	12134	10589
534	12157	10566
535	12181	10544
536	12207	10525
537	12232	10504
538	12256	10482
539	12279	10460
540	12297	10433
541	12321	10411
542	12342	10388
543	12365	10365
544	12387	10342
545	12412	10320
546	12437	10300
547	12463	10280
548	12488	10258
549	12513	10238
550	12537	10216
551	12559	10193
552	12581	10169
553	12604	10146
554	12626	10124
555	12650	10102
556	12673	10079
557	12696	10057
558	12719	10034
559	12743	10012
560	12767	9991
561	12790	9968
562	12813	9945
563	12837	9924
564	12859	9901
565	12884	9879
566	12907	9857
567	12931	9835
568	12955	9813
569	12980	9792
570	13003	9769
571	13027	9747
572	13050	9725
573	13074	9703
574	13082	9669
575	13105	9647
576	13130	9625
577	13154	9604
578	13178	9582
579	13203	9561
580	13222	9535
581	13244	9512
582	13267	9489
583	13279	9459
584	13302	9436
585	13325	9414
586	13349	9392
587	13372	9369
588	13396	9347
589	13418	9324
590	13430	9294
591	13453	9271
592	13477	9250
593	13502	9228
594	13525	9206
595	13548	9183
596	13570	9160
597	13592	9137
598	13616	9115
599	13639	9092
600	13662	9070
601	13684	9047
602	13710	9026
603	13733	9004
604	13757	8982
605	13779	8958
606	13801	8935
607	13822	8912
608	13845	8889
609	13869	8867
610	13896	8847
611	13921	8826
612	13946	8804
613	13970	8782
614	13981	8752
615	14005	8730
616	14029	8708
617	14037	8676
618	14049	8647
619	14071	8624
620	14092	8600
621	14115	8578
622	14137	8555
623	14159	8532
624	14181	8508
625	14195	8481
626	14218	8458
627	14241	8436
628	14264	8413
629	14279	8386
630	14302	8363
631	14325	8341
632	14349	8319
633	14373	8297
634	14396	8275
635	14419	8252
636	14441	8229
637	14465	8207
638	14487	8184
639	14510	8162
640	14533	8139
641	14557	8117
642	14581	8095
643	14607	8074
644	14630	8052
645	14654	8030
646	14669	8003
647	14692	7981
648	14700	7950
649	14722	7927
650	14744	7904
651	14768	7882
652	14791	7859
653	14814	7837
654	14838	7815
655	14861	7793
656	14883	7770
657	14907	7748
658	14930	7725
659	14953	7703
660	14976	7680
661	15001	7659
662	15014	7631
663	15038	7609
664	15059	7586
665	15083	7564
666	15107	7542
667	15135	7522
668	15159	7500
669	15184	7478
670	15208	7457
671	15231	7434
672	15253	7411
673	15279	7390
674	15305	7369
675	15331	7348
676	15353	7325
677	15376	7302
678	15398	7279
679	15422	7257
680	15446	7235
681	15472	7214
682	15485	7187
683	15508	7164
684	15532	7142
685	15556	7120
686	15580	7098
687	15603	7075
688	15625	7053
689	15638	7025
690	15661	7003
691	15685	6981
692	15710	6959
693	15726	6934
694	15748	6911
695	15770	6888
696	15792	6865
697	15808	6839
698	15831	6817
699	15854	6794
700	15877	6772
701	15900	6749
702	15923	6727
703	15947	6705
704	15971	6682
705	15994	6660
706	16016	6637
707	16040	6615
708	16064	6593
709	16091	6572
710	16100	6544
711	16124	6522
712	16137	6495
713	16145	6467
714	16167	6444
715	16196	6424
716	16227	6405
717	16255	6384
718	16282	6363
719	16309	6342
720	16332	6320
721	16356	6298
722	16379	6275
723	16404	6253
724	16428	6231
725	16451	6209
726	16474	6186
727	16497	6163
728	16512	6138
729	16535	6115
730	16558	6093
731	16583	6071
732	16607	6049
733	16634	6028
734	16648	6002
735	16665	5977
736	16688	5955
737	16711	5932
738	16735	5910
739	16757	5887
740	16779	5864
741	16802	5842
742	16825	5819
743	16848	5797
744	16860	5771
745	16887	5749
746	16909	5727
747	16932	5704
748	16944	5678
749	16967	5655
750	16990	5633
751	17009	5609
752	17033	5587
753	17056	5564
754	17078	5542
755	17101	5519
756	17123	5496
757	17147	5474
758	17170	5452
759	17194	5429
760	17217	5407
761	17237	5383
762	17260	5361
763	17283	5338
764	17306	5316
765	17329	5293
766	17352	5271
767	17376	5249
768	17399	5226
769	17423	5204
770	17445	5181
771	17468	5159
772	17489	5135
773	17511	5113
774	17533	5090
775	17557	5068
776	17579	5045
777	17603	5023
778	17616	4997
779	17641	4975
780	17663	4953
781	17687	4930
782	17709	4907
783	17732	4885
784	17755	4862
785	17775	4839
786	17800	4817
787	17823	4795
788	17836	4769
789	17859	4747
790	17883	4725
791	17912	4704
792	17935	4681
793	17958	4659
794	17980	4636
795	18004	4614
796	18027	4591
797	18052	4569
798	18076	4547
799	18099	4524
800	18121	4502
801	18144	4479
802	18165	4456
803	18190	4434
804	18213	4411
805	18237	4389
806	18259	4366
807	18282	4344
808	18304	4321
809	18330	4299
810	18351	4276
811	18375	4254
812	18398	4231
813	18421	4209
814	18443	4186
815	18459	4162
816	18480	4139
817	18502	4116
818	18525	4094
819	18541	4070
820	18564	4047
821	18588	4025
822	18611	4002
823	18635	3980
824	18647	3955
825	18670	3932
826	18688	3909
827	18711	3886
828	18734	3864
829	18759	3842
830	18783	3820
831	18806	3797
832	18828	3774
833	18850	3752
834	18872	3729
835	18889	3705
836	18912	3683
837	18937	3660
838	18960	3638
839	18983	3615
840	19005	3593
841	19029	3570
842	19050	3547
843	19073	3525
844	19088	3501
845	19112	3479
846	19125	3454
847	19149	3432
848	19173	3410
849	19187	3385
850	19210	3363
851	19229	3340
852	19248	3317
853	19271	3294
854	19294	3272
855	19316	3249
856	19339	3226
857	19352	3202
858	19376	3180
859	19400	3158
860	19423	3135
861	19439	3112
862	19448	3087
863	19471	3064
864	19484	3040
865	19506	3018
866	19531	2996
867	19554	2973
868	19570	2950
869	19593	2927
870	19616	2905
871	19632	2881
872	19655	2859
873	19677	2836
874	19700	2814
875	19722	2791
876	19746	2769
877	19767	2746
878	19790	2724
879	19814	2701
880	19838	2679
881	19864	2657
882	19890	2635
883	19902	2611
884	19925	2589
885	19949	2566
886	19973	2544
887	19996	2522
888	20019	2499
889	20042	2477
890	20065	2454
891	20090	2432
892	20117	2410
893	20139	2387
894	20163	2365
895	20179	2342
896	20201	2319
897	20226	2297
898	20252	2275
899	20277	2253
900	20301	2230
901	20324	2208
902	20347	2185
903	20369	2163
904	20392	2140
905	20404	2117
906	20427	2094
907	20449	2071
908	20473	2049
909	20496	2027
910	20508	2003
911	20520	1980
912	20535	1956
913	20558	1934
914	20581	1911
915	20605	1889
916	20628	1867
917	20651	1844
918	20674	1822
919	20687	1798
920	20710	1776
921	20730	1753
922	20753	1731
923	20776	1708
924	20798	1686
925	20822	1663
926	20845	1641
927	20868	1619
928	20891	1596
929	20907	1573
930	20930	1551
931	20943	1528
932	20967	1505
933	20991	1483
934	21017	1461
935	21041	1438
936	21059	1415
937	21072	1392
938	21094	1370
939	21117	1347
940	21138	1325
941	21163	1303
942	21186	1280
943	21199	1257
944	21211	1234
945	21226	1211
946	21250	1189
947	21275	1167
948	21300	1144
949	21319	1122
950	21335	1099
951	21358	1076
952	21382	1054
953	21404	1032
954	21428	1009
955	21451	987
956	21468	964
957	21480	941
958	21503	919
959	21523	896
960	21546	874
961	21570	852
962	21594	829
963	21618	807
964	21641	784
965	21664	762
966	21685	740
967	21708	717
968	21731	695
969	21756	672
970	21783	650
971	21804	628
972	21826	605
973	21845	583
974	21866	560
975	21889	538
976	21912	515
977	21936	493
978	21957	471
979	21980	448
980	22003	426
981	22026	403
982	22048	381
983	22071	358
984	22093	336
985	22117	314
986	22136	291
987	22160	269
988	22183	246
989	22206	224
990	22229	201
991	22253	179
992	22265	156
993	22286	134
994	22310	112
995	22333	89
996	22356	67
997	22381	44
998	22404	22
999	22429	0
