iter	Logloss
0	0.6815066851
1	0.6688223444
2	0.6577470235
3	0.6478617596
4	0.6357450725
5	0.6256513524
6	0.6139208894
7	0.602644494
8	0.5927096335
9	0.5829538395
10	0.5721221459
11	0.5623090582
12	0.5535456344
13	0.5434945944
14	0.5354239674
15	0.5273043378
16	0.51958916
17	0.5116084648
18	0.5040746864
19	0.4977669008
20	0.4911114175
21	0.4848290554
22	0.4784845503
23	0.4716800679
24	0.4651863896
25	0.4586071663
26	0.4526135162
27	0.4460769551
28	0.4399503667
29	0.4344124288
30	0.4292119755
31	0.4232872024
32	0.4171989836
33	0.4114829264
34	0.4062850367
35	0.4018420651
36	0.3965770899
37	0.3913109375
38	0.387571607
39	0.3835784408
40	0.3790449604
41	0.3740679601
42	0.3696580919
43	0.3650383655
44	0.3613384468
45	0.3571902704
46	0.3527409933
47	0.349108592
48	0.3459196504
49	0.3420402209
50	0.339131481
51	0.3360508415
52	0.3328871971
53	0.3294990356
54	0.3256875047
55	0.3225176066
56	0.3197063663
57	0.3173037041
58	0.3136934718
59	0.309916908
60	0.3068238977
61	0.3046376868
62	0.3026645026
63	0.2985403238
64	0.2961135918
65	0.2939827574
66	0.2908755241
67	0.288700098
68	0.286764148
69	0.2844607245
70	0.2821772816
71	0.2801202596
72	0.2778413281
73	0.2756772501
74	0.2733992168
75	0.2714377324
76	0.2699979882
77	0.2684991266
78	0.2665597917
79	0.2647320638
80	0.2623475803
81	0.2606343334
82	0.2591935313
83	0.2572970601
84	0.2556032
85	0.2538278366
86	0.2524795109
87	0.251009052
88	0.2497149379
89	0.2477835537
90	0.2463455261
91	0.245509788
92	0.2440622047
93	0.242931327
94	0.2418588206
95	0.2409708285
96	0.239922942
97	0.2386735111
98	0.2374325591
99	0.2361500242
100	0.2355336667
101	0.2343252025
102	0.233167952
103	0.2320634927
104	0.230523429
105	0.2296785206
106	0.2286556725
107	0.2277206203
108	0.2267320781
109	0.2253883051
110	0.2244074543
111	0.2229669302
112	0.2216450423
113	0.2205915193
114	0.2190741981
115	0.2181901385
116	0.2170792227
117	0.2163219567
118	0.2152124925
119	0.2138229086
120	0.2129148752
121	0.2122496471
122	0.2113319313
123	0.2102857669
124	0.2092170716
125	0.2087423993
126	0.2082000872
127	0.2071304739
128	0.2063900103
129	0.2056456508
130	0.2050541941
131	0.2039864268
132	0.2034444164
133	0.2025261521
134	0.2020228479
